measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2010,38.92568689373901,39.61121397387705,38.36622963726971
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2010,12.069219614577394,12.29963446695269,11.84258047979735
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2003,150.8073988468334,152.05378378666015,148.41039309918725
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2003,32.92181221474759,33.31824354697138,32.24973650637451
Deaths,Russian Federation,Male,All ages,All causes,Rate,2011,1466.6127920409708,1470.396817054341,1462.9680991164469
Deaths,Russian Federation,Female,All ages,All causes,Rate,2011,1177.4537767844051,1181.2871226723964,1173.6134516980305
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2011,36.02539666312563,37.14160741154634,35.51500514542004
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2011,11.188610962351127,11.734755976821475,10.953710106765334
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2011,81.937861911892,82.71724434660226,80.84855405064344
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2011,23.262516474106285,23.670903980566212,22.55753429639097
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2011,227.64938356133158,230.64137857533666,222.48037133477564
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2011,175.6266412265197,178.87674494463803,168.97852250638115
Deaths,Russian Federation,Male,All ages,All causes,Rate,2012,1432.1519893119475,1435.6257997590312,1428.3314652005886
Deaths,Russian Federation,Female,All ages,All causes,Rate,2012,1164.4559988510966,1168.7432551081001,1160.282012324293
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2012,89.85855516379381,91.27785516102742,88.99339533761892
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2012,19.97854177513871,20.342654851004266,19.618105496664676
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2012,34.87944412258355,36.18618541763979,34.34787256362775
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2012,10.69773621692814,11.39128623126269,10.466490772754938
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2004,129.6186236362505,131.3739737656027,128.24222352660553
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2004,32.80856582440032,33.26628936293925,32.027228429063065
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2004,243.06423220167122,247.33871611526084,239.1619837130261
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2004,178.38899388426972,181.1783773779853,173.67173537968173
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2013,73.81837265226098,74.5269649254831,73.15787643319494
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2013,21.27602050223495,21.704540174070335,20.53910848539558
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2013,227.0337831280334,230.27566534552517,221.1157359324526
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2013,175.4402341599207,179.22007410397623,168.35294196993368
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2013,87.60383592679887,89.5060091189849,86.6618817828822
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2013,19.14835626499394,19.689634166970535,18.751753412058605
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2014,73.50075437131164,74.51473680879778,72.75458948444324
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2014,21.15088555274908,21.569391669288933,20.416487809906027
Deaths,Russian Federation,Male,All ages,All causes,Rate,2014,1418.114061722175,1422.305230749321,1414.5544484301695
Deaths,Russian Federation,Female,All ages,All causes,Rate,2014,1165.8763834378613,1170.5066567339215,1161.8040209487692
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2014,234.73146907066547,238.98036453367513,228.04135236005274
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2014,179.22497392337016,182.88896606341265,171.7506118918956
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2014,32.57686620980569,33.20906723773788,31.244679803241855
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2014,9.84756832795587,10.051829891308785,9.27340283011738
Deaths,Russian Federation,Male,All ages,Self-harm and interpersonal violence,Rate,2014,86.14261849430277,88.7307488377053,85.11704846108164
Deaths,Russian Federation,Female,All ages,Self-harm and interpersonal violence,Rate,2014,18.57267084827432,18.920010535679864,18.210608529908075
Deaths,Russian Federation,Male,All ages,All causes,Rate,2015,1384.7032901235282,1388.5716460418466,1380.804999812963
Deaths,Russian Federation,Female,All ages,All causes,Rate,2015,1162.2375931989357,1166.5597174286906,1157.9680702698215
Deaths,Russian Federation,Male,All ages,Unintentional injuries,Rate,2015,68.70282458133491,69.49376253500267,67.81901951900147
Deaths,Russian Federation,Female,All ages,Unintentional injuries,Rate,2015,20.379116793894937,20.83044004468212,19.55992058457386
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2015,235.33714507038192,240.2650694700927,228.53720109603472
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2015,180.59643488813794,184.3786529017247,172.8509305968668
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2015,29.88761554613211,31.58895959349024,29.235843680826072
Deaths,Russian Federation,Female,All ages,Transport injuries,Rate,2015,9.343872729188073,10.264946406999474,9.095360260442867
Deaths,Russian Federation,Male,All ages,All causes,Rate,2016,1359.3197683625788,1363.1250740055132,1355.380204960456
Deaths,Russian Federation,Female,All ages,All causes,Rate,2016,1154.7695988980447,1159.1594931207462,1150.4668141327024
Deaths,Russian Federation,Male,All ages,Transport injuries,Rate,2016,27.244046885531773,29.41964884839036,26.481360794608396
