measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2010,237.4765141682894,239.26171670409823,235.82540870576312
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2010,61.61808960808927,62.47847930166841,60.295446342196406
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2008,237.41535797937152,240.9261065442473,233.07538761625068
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2008,178.40330881816422,181.248540897552,172.8858329345662
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2011,227.64938356133158,230.64137857533666,222.48037133477564
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2011,175.6266412265197,178.87674494463803,168.97852250638115
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2011,86.01669552327465,87.13602627665108,84.63199105028434
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2011,31.313207233053575,31.977263706953355,30.469316759902078
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2011,211.20259221989846,212.76222958894027,209.77051307379517
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2011,54.9796808450754,55.85992398586101,53.816020025832756
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2011,1169.393504297797,1172.7068039764224,1165.9864383748968
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2011,1091.1608887062778,1095.2488541940097,1087.2949426810492
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2013,227.0337831280334,230.27566534552517,221.1157359324526
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2013,175.4402341599207,179.22007410397623,168.35294196993368
Deaths,Russian Federation,Male,All ages,Total cancers,Rate,2012,227.03084535099148,230.1484748091141,221.2690803916236
Deaths,Russian Federation,Female,All ages,Total cancers,Rate,2012,175.44913322229974,178.99195826461806,168.57521793544637
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2012,1145.5860297312643,1148.8642762158204,1142.0352513486757
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2012,1079.180358126311,1083.368071109881,1075.0547759319759
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2012,202.69764055952885,204.4968379725982,201.24238255282432
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2012,53.161021365266066,54.292080154360974,51.971839633792655
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2012,83.8683190211555,85.00814156331518,82.56891216819842
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2012,32.1146193595186,32.87961078958006,31.249279626963713
Deaths,Russian Federation,Male,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2014,81.58223934047592,82.82799017801408,80.5405006604523
Deaths,Russian Federation,Female,All ages,"Communicable, maternal, neonatal, and nutritional diseases",Rate,2014,32.57029772329349,33.18922771432455,31.650521889323088
Deaths,Russian Federation,Male,All ages,Injuries,Rate,2014,192.22023907541976,194.69564632084712,190.38750543673098
Deaths,Russian Federation,Female,All ages,Injuries,Rate,2014,49.571124728979285,50.26088435551021,48.442828017759965
Deaths,Russian Federation,Male,All ages,Non-communicable diseases,Rate,2013,1124.9313602729053,1128.5139829724444,1121.0723618422348
Deaths,Russian Federation,Female,All ages,Non-communicable diseases,Rate,2013,1068.2803432897997,1072.5151465228685,1064.1798941452844
